Ap,Bp,Cp,Rp,Irradiance,Scintillation Index,Simulated Optical Channel State,Al,Cl,Rl,Source Initial Position,Wp,Wl,Attenuation Factor,G1,G2,G3,G4
-0.714947859,0.000994084,-0.706138123,0.872404787,-1.553942394,0.908570957,0.0911846,1.279889606,1.411391306,-1.4525836,0.609767224,-1.363231858,0.643126179,0.711477531,0.993104674,-0.142927317,-0.142927317,5.032840048
0.701070876,-0.709065936,1.410794393,0.597608003,0.526905323,0.403013529,0.494311982,-1.059706879,-1.412803404,0.938275625,0.202332222,3.059489674,-1.218596533,1.570013727,1.113945261,1.080004322,1.080004322,1.88336939
-0.006938492,0.711054104,-0.706138123,-1.042585302,-1.207134441,-0.776620468,-1.665298993,-0.499283211,-1.412803404,-1.367195771,-0.816255283,0.7300023,0.303304176,-0.490473144,0.911887184,0.222328026,0.222328026,4.915324959
-0.006938492,0.000994084,1.410794393,0.855229988,0.873713275,0.403013529,1.041413429,-1.683840202,-0.706754726,-0.769480964,1.085108059,-0.065273825,1.125645099,0.539770292,1.079986561,1.078368162,1.078368162,1.645912927
-1.422957227,1.421114123,-0.000493951,1.078502375,0.18009737,1.582647527,-0.484711948,-0.130229343,0.705342629,-0.854868794,-0.20510278,0.719248802,0.764497324,0.797331151,1.158845034,1.075987524,1.075987524,2.251260578
1.409080243,-1.419125955,-0.706138123,-1.08208734,-0.166710583,-0.860880039,-1.63650418,-0.515850423,1.411391306,-1.537971429,1.696260562,-0.208411976,0.752015366,1.226599249,0.985706632,0.840539687,0.840539687,2.201806735
0.701070876,-0.709065936,-1.411782294,1.542221948,1.220521228,1.245609242,0.638285759,-0.942997314,-1.412803404,1.279826943,1.356731394,-0.12689148,-2.920240903,1.140745629,0.842936236,0.838637395,0.838637395,1.215624314
0.701070876,1.421114123,-0.000493951,-0.374485621,0.18009737,-0.608101326,0.695875673,0.539702059,1.411391306,1.450602602,-0.680443616,1.500903774,-1.161934935,-0.490473144,1.158590633,1.075778084,1.075778084,2.251358495
-0.006938492,-1.419125955,1.410794393,2.297913105,0.873713275,1.329868813,1.617309401,0.947779803,-0.000706049,1.450602602,0.202332222,1.419543241,0.322706357,-1.34900934,1.079949199,1.078213775,1.078213775,1.646291117
-1.422957227,0.000994084,-0.706138123,0.511734008,-1.553942394,-0.018284327,1.386951185,1.662696398,-1.412803404,1.450602602,-1.291596118,1.427771698,-0.751080768,0.797331151,0.993105142,-0.142936179,-0.142936179,5.032574866
